DATA	MOTORISTA	CLIENTE	DESTINO	PEDIDO	NOTA FISCAL	REMESSA	PALETIZADA	QTD PALETES	SACO	BOMBONA	BALDE	TAMBOR	PESO LIQ	PESO BR	 VALOR NF 	MÊS	REGIÃO	ESTADO	PLACA	 CTE R$ 	CAMINHÃO
07/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (549)	SEARA ALIMENTOS LTDA	7267	20676	80012029	SIM	1	50	0	0	0	1006	1026	R$ 8.323,25	JAN	São Paulo	SP	EQC-9H53	R$ 550,00	HR
07/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (3209)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7016	20694	80012060	SIM	3	115	0	0	0	2618	2678	R$ 53.730,89	JAN	Santa Catarina	SC	CB1-7094	R$ 130,00	TRUCK
07/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (185)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7304	20686	80012051	SIM	1	14	0	0	0	281,12	301,12	R$ 7.067,22	JAN	Santa Catarina	SC	CB1-7094	R$ 130,00	TRUCK
07/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (4543)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7099	20684	80012048	SIM	1	10	0	0	0	201,2	221,2	R$ 2.912,00	JAN	Paraná	PR	CB1-7094	R$ 130,00	TRUCK
07/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (3275)	COOPERATIVA CENTRAL AURORA ALIMENTO	7069	20682	80012045	SIM	1	0	40	0	0	207	227	R$ 3.100,70	JAN	Rio Grande do Sul	RS	CB1-7094	R$ 130,00	TRUCK
07/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (3004)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7148	20681	80012044	SIM	1	0	100	0	0	517,5	537,5	R$ 7.751,77	JAN	Santa Catarina	SC	CB1-7094	R$ 130,00	TRUCK
07/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (3209)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7035	20674	80012034	SIM	2	0	90	0	0	2090,88	2130,88	R$ 231.184,71	JAN	Santa Catarina	SC	CB1-7094	R$ 130,00	TRUCK
07/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (4543)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7330	20690	80012055	SIM	1	36	0	0	0	1017,072	1037,072	R$ 16.689,31	JAN	Paraná	PR	CB1-7094	R$ 130,00	TRUCK
07/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (3211)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7360	20692	80012058	SIM	1	0	100	0	0	517,5	537,5	R$ 7.335,00	JAN	Mato Grosso do Sul	MS	CB1-7094	R$ 130,00	TRUCK
07/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (4543)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7462	20693	80012059	SIM	1	0	20	0	0	103,5	123,5	R$ 1.550,35	JAN	Paraná	PR	CB1-7094	R$ 130,00	TRUCK
07/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (185)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7011	20697	80012063	SIM	2	39	0	0	4	1856,028	1896,028	R$ 98.460,31	JAN	Santa Catarina	SC	CB1-7094	R$ 130,00	TRUCK
07/01/2025	POUPETEMPO TRANSPORTES	LINCON INDUSTRIA E COMERCIO LTDA (2583)	POTENCIAL EXPRESS TRANSPORTES LTDA POTENCIAL EXPRESS	7256	20688	5000090790	SIM	1	9	0	0	0	273,51	293,51	R$ 4.980,09	JAN	Minas Gerais	MG	DTP-5751	R$ 200,00	TOCO
07/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA AGRO PECUARIA VALE DO R IO DOCE LTDA (264)	M W TRANSPORTES LTDA		20687	80012052	SIM	1	0	25	0	0	583,48	603,48	R$ 42.050,00	JAN	Minas Gerais	MG	DTP-5751	R$ 200,00	TOCO
07/01/2025	POUPETEMPO TRANSPORTES	NOTARO ALIMENTOS LTDA (37)	COLINAS TRANSPORTADORA LTDA	7467	20683	80012046	SIM	3	84	0	0	0	2537,64	2597,64	R$ 42.840,00	JAN	Pernambuco	PE	DTP-5751	R$ 200,00	TOCO
07/01/2025	POUPETEMPO TRANSPORTES	NOTARO ALIMENTOS LTDA (37)	COLINAS TRANSPORTADORA LTDA	7466	20685	80012049	SIM	3	0	0	0	0	2537,64	2597,64	R$ 42.840,00	JAN	Pernambuco	PE	DTP-5751	R$ 200,00	TOCO
07/01/2025	POUPETEMPO TRANSPORTES	VIVA ALIMENTOS LTDA (3421)	PROTRAN TRANSPORTES RODOVIARIOS DE  CARGAS LTDA EXPRESSO PON	6473	20679	80012042	SIM	3	0	50	0	0	1617,84	1677,84	R$ 245.568,47	JAN	Pernambuco	PE	DTP-5751	R$ 200,00	TOCO
07/01/2025	POUPETEMPO TRANSPORTES	FRIMESA COOPERATIVA CENTRAL (3215)	LSLOG ARMAZENAGEM E LOGISTICA LTDA. .	7431	20689	80012054	SIM	1	28	0	0	0	704,2	724,2	R$ 54.671,90	JAN	Paraná	PR	MMX-0046	R$ 400,00	3 QUARTOS
07/01/2025	POUPETEMPO TRANSPORTES	FRIMESA COOPERATIVA CENTRAL (3215)	LSLOG ARMAZENAGEM E LOGISTICA LTDA. .	7430	20691	80012057	SIM	3	0	60	0	0	2302,8	2362,8	R$ 42.148,06	JAN	Paraná	PR	MMX-0046	R$ 400,00	3 QUARTOS
08/01/2025	POUPETEMPO TRANSPORTES	SABORATTA INDUSTRIA DE ALIMENTOS LT DA (660)	TRD - TRANSPORTE E LOGISTICA LTDA TRD TRANSPORTE E LOGISTICA	7703	20703	80012083	SIM	2	0	75	0	0	1578	1618	R$ 56.970,05	JAN	Espírito Santo	ES	DHS-1880	R$ 266,67	3 QUARTOS
08/01/2025	POUPETEMPO TRANSPORTES	ITAMBE ALIMENTOS LTDA. ITAMBE ALIMENTOS LTDA. (2768)	SETE LAGOAS TRANSPORTES LTDA	7727	20702	80012073	SIM	2	40	0	0	0	1006	1046	R$ 65.741,57	JAN	Minas Gerais	MG	DHS-1880	R$ 266,67	3 QUARTOS
08/01/2025	POUPETEMPO TRANSPORTES	NUTRIZA AGROINDUSTRIAL DE ALIMENTOS  S/A (3153)	NUTRIZA AGROINDUSTRIAL DE ALIMENTOS	7326	20700	80012072	SIM	1	0	50	0	0	1052	1072	R$ 30.399,95	JAN	Goiás	GO	DHS-1880	R$ 266,67	3 QUARTOS
08/01/2025	POUPETEMPO TRANSPORTES	SUINOAVES ALIMENTOS LTDA (506)	LOG 100 TRANSPORTES LTDA LOG 100 LOGISTICA	6999	20696	80012062	SIM	2	27	0	0	0	681,63	721,63	R$ 19.093,81	JAN	Brasília	DF	DTP-5751	R$ 500,00	TOCO
08/01/2025	POUPETEMPO TRANSPORTES	FRICO INDUSTRIA E COMERCIO DE ALIME NTOS LTDA (1949)	ARAGUAIA TRANSPORTES LTDA	7388	20695	80012061	SIM	8	300	6	0	0	6488,22	6648,22	R$ 304.860,44	JAN	Goiás	GO	DTP-5751	R$ 500,00	TOCO
09/01/2025	POUPETEMPO TRANSPORTES	ABATEDOURO DE AVES CALIFORNIA LTDA (3234)	EXPRESSO RODO JABOTI LTDA EXPRESSO RODO JABOTI	7433	20710	80012160	SIM	4	112	0	0	0	2886,04	2966,04	R$ 85.247,25	JAN	São Paulo	SP	DHS-1880	R$ 266,67	3 QUARTOS
09/01/2025	POUPETEMPO TRANSPORTES	AVIVAR ALIMENTOS S/A (3127)	VIACAO SAO CRISTOVAO LIMITADA.	7246	20715	80012165	SIM	1	54	0	0	0	817,29	837,29	R$ 6.844,53	JAN	Minas Gerais	MG	DHS-1880	R$ 266,67	3 QUARTOS
09/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (50)	EXPRESSO SAO PAULO LAJEADO LTDA DIRETAO SAO PAULO	7089	20711	80012161	SIM	2	50	0	0	0	1006	1046	R$ 23.375,04	JAN	Rio Grande do Sul	RS	DHS-1880	R$ 266,67	3 QUARTOS
09/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (1136)	JBS S/A CENTRO DE DISTRIBUICAO	7432	20706	80012156	SIM	1	15	0	0	0	303	323	R$ 13.843,39	JAN	Santa Catarina	SC	ELW-8231	R$ 275,00	HR
09/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (1136)	JBS S/A CENTRO DE DISTRIBUICAO	7556	20705	80012155	SIM	2	85	0	0	0	1710,2	1750,2	R$ 16.592,77	JAN	Santa Catarina	SC	ELW-8231	R$ 275,00	HR
09/01/2025	POUPETEMPO TRANSPORTES	BRF S.A. (4438)	SOLUCAO - DISTRIBUICAO, TRANSPORTES S E LOCACAO DE VEICULOS	7677	20718	80012172	SIM	3	0	110	0	0	2314,4	2374,4	R$ 97.757,71	JAN	Pernambuco	PE	CYR-8094	R$ 275,00	HR
09/01/2025	POUPETEMPO TRANSPORTES	BRF S.A. (4438)	SOLUCAO - DISTRIBUICAO, TRANSPORTES S E LOCACAO DE VEICULOS	7678	20717	80012171	SIM	3	0	110	0	0	2314,4	2374,4	R$ 97.757,71	JAN	Pernambuco	PE	CYR-8094	R$ 275,00	HR
09/01/2025	POUPETEMPO TRANSPORTES	FIPEL - FRIGORIFICO INDUSTRIAL PERN AMBUCANO LTDA (2969)	COLINAS TRANSPORTADORA LTDA	7073	20720	80012174	SIM	1	0	25	0	0	546,16	566,16	R$ 32.700,03	JAN	Pernambuco	PE	DTP-5751	R$ 125,00	TOCO
09/01/2025	POUPETEMPO TRANSPORTES	PAUDALHO AGROPECUARIA S/A (55)	TS CURSINO TRANSPORTE DE CARGA LTDA A TS TRANSPORTES	7339	20714	80012164	SIM	1	30	0	0	0	609	629	R$ 29.325,51	JAN	Pernambuco	PE	DTP-5751	R$ 125,00	TOCO
09/01/2025	POUPETEMPO TRANSPORTES	POLE ALIMENTOS LTDA (5506)	MLS TRANSPORTE DE CARGAS LTDA	7633	20713	80012163	SIM	4	20	9	32	0	1281,605	1361,605	R$ 26.715,95	JAN	Ceará	CE	DTP-5751	R$ 125,00	TOCO
09/01/2025	POUPETEMPO TRANSPORTES	POLE ALIMENTOS LTDA (5506)	VIP TRANSPORTE DE CARGAS LTDA VIP CARGAS	7744	20716	80012170	SIM	1	11	0	0	0	247,496	267,496	R$ 9.689,30	JAN	Ceará	CE	DTP-5751	R$ 125,00	TOCO
09/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (185)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7304	20709	80012159	SIM	1	0	100	0	0	517,5	537,5	R$ 7.751,77	JAN	Santa Catarina	SC	DTP-5751	R$ 125,00	TOCO
09/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (185)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7011	20708	80012158	SIM	2	0	5	0	4	865,875	905,875	R$ 59.856,80	JAN	Santa Catarina	SC	DTP-5751	R$ 125,00	TOCO
09/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (3209)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7016	20707	80012157	SIM	1	35	0	0	0	702,8	722,8	R$ 17.668,03	JAN	Santa Catarina	SC	DTP-5751	R$ 125,00	TOCO
09/01/2025	POUPETEMPO TRANSPORTES	POVOA & CIA LTDA (3081)	TRANSVALEN TRANSPORTES LTDA TRANSPORTADORA VALENCIA	7567	20712	80012162	SIM	1	6	0	0	0	152,82	172,82	R$ 4.544,82	JAN	Paraná	PR	DTP-5751	R$ 125,00	TOCO
10/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (475)	JBS S/A CENTRO DE DISTRIBUICAO	7581	20730	80012192	SIM	1	40	0	0	0	805,6	825,6	R$ 14.565,69	JAN	Rio de Janeiro	RJ	DHS-1880	R$ 400,00	3 QUARTOS
10/01/2025	POUPETEMPO TRANSPORTES	ROGERIO MARCIO FERREIRA DE SOUZA (3022)	ROGERIO MARCIO FERREIRA DE SOUZA	7686	20723	80012182	SIM	1	13	0	0	0	390	410	R$ 4.586,42	JAN	São Paulo	SP	DHS-1880	R$ 400,00	3 QUARTOS
10/01/2025	POUPETEMPO TRANSPORTES	DUBOI - FRIGORIFICO INDUSTRIAL LTDA (617)	KLIN LOGISTICA LTDA	7447	20733	80012193	SIM	4	47	0	0	0	1281,69	1361,69	R$ 35.616,91	JAN	Ceará	CE	DTP-5751	R$ 142,86	TOCO
10/01/2025	POUPETEMPO TRANSPORTES	ICANE INDUSTRIA E COMERCIO DE ALIME NTOS DO NORDESTE LTDA (1445)	KLNEXPRESS TRANSPORTES RODOVIARIOS  LTDA	7350	20731	80012194	SIM	2	25	0	0	0	574,65	614,65	R$ 18.987,90	JAN	Ceará	CE	DTP-5751	R$ 142,86	TOCO
10/01/2025	POUPETEMPO TRANSPORTES	FRIGORIFICO SAO JOAQUIM LTDA (1937)	DS TRANSPORTES LTDA	7610	20729	80012191	SIM	2	80	0	0	0	2012	2052	R$ 41.773,10	JAN	Minas Gerais	MG	DTP-5751	R$ 142,86	TOCO
10/01/2025	POUPETEMPO TRANSPORTES	FIPEL - FRIGORIFICO INDUSTRIAL PERN AMBUCANO LTDA (2969)	COLINAS TRANSPORTADORA LTDA	7073	20726	80012184	SIM	1	0	15	0	0	345,84	365,84	R$ 29.370,02	JAN	Pernambuco	PE	DTP-5751	R$ 142,86	TOCO
10/01/2025	POUPETEMPO TRANSPORTES	FRIMESA COOPERATIVA CENTRAL (3215)	LSLOG ARMAZENAGEM E LOGISTICA LTDA. .	7429	20724	80012183	SIM	2	55	0	0	0	1107,7	1147,7	R$ 6.930,03	JAN	Paraná	PR	DTP-5751	R$ 142,86	TOCO
10/01/2025	POUPETEMPO TRANSPORTES	FRIMESA COOPERATIVA CENTRAL (3215)	LSLOG ARMAZENAGEM E LOGISTICA LTDA. .	7364	20722	80012181	SIM	1	0	19	0	0	441,408	461,408	R$ 28.340,41	JAN	Paraná	PR	DTP-5751	R$ 142,86	TOCO
10/01/2025	POUPETEMPO TRANSPORTES	INCOLINDA INDUSTRIA E COMERCIO DE L INGUICA LTDA (3293)	ABT-LOG TRANSPORTES LTDA ABT-LOG	7679	20721	80012180	SIM	1	15	0	0	0	302,4	322,4	R$ 4.917,36	JAN	Rio de Janeiro	RJ	DTP-5751	R$ 142,86	TOCO
13/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (185)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7011	20738	80012200	SIM	1	39	0	0	0	1016,028	1036,028	R$ 42.532,34	JAN	Santa Catarina	SC	DHS-1880	R$ 400,00	3 QUARTOS
13/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (185)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7304	20743	80012206	SIM	2	0	0	40	0	830,4	870,4	R$ 18.143,45	JAN	Santa Catarina	SC	DHS-1880	R$ 400,00	3 QUARTOS
13/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (1157)	POWER LOGISTICA E TRANSPORTES LTDA POWER TRANSPORTES	7558	20745	80012209	SIM	2	100	0	0	0	2012	2052	R$ 21.963,21	JAN	Mato Grosso do Sul	MS	DTP-5751	R$ 200,00	TOCO
13/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA DOS SUINOCULTORES DO CA I SUPERIOR LTDA (3204)	EXPRESSO SAO PAULO LAJEADO LTDA DIRETAO SAO PAULO	7276	20734	80012204	SIM	1	20	0	0	0	506	526	R$ 5.415,73	JAN	Rio Grande do Sul	RS	DTP-5751	R$ 200,00	TOCO
13/01/2025	POUPETEMPO TRANSPORTES	JBS AVES LTDA. (625)	EXPRESSO SAO PAULO LAJEADO LTDA DIRETAO SAO PAULO	7285	20742	80012205	SIM	1	50	0	0	0	1006	1026	R$ 23.375,04	JAN	Rio Grande do Sul	RS	DTP-5751	R$ 200,00	TOCO
13/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (50)	EXPRESSO SAO PAULO LAJEADO LTDA DIRETAO SAO PAULO	7076	20739	80012201	SIM	2	50	0	0	0	1006	1046	R$ 9.760,45	JAN	Rio Grande do Sul	RS	DTP-5751	R$ 200,00	TOCO
13/01/2025	POUPETEMPO TRANSPORTES	MEZZANI ALIMENTOS LTDA MEZZANI ALIMENTOS LTDA (3129)	D2 LOGISTICA LTDA	7688	20737	80012211	SIM	1	4	0	0	0	98,075	118,075	R$ 1.752,53	JAN	São Paulo	SP	DTP-5751	R$ 200,00	TOCO
13/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (475)	JBS S/A CENTRO DE DISTRIBUICAO	7582	20746	80012216	SIM	1	0	40	0	0	849,6	869,6	R$ 75.127,07	JAN	Rio de Janeiro	RJ	CVN-4384	R$ 260,00	TRUCK
13/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (1157)	JBS S/A CENTRO DE DISTRIBUICAO	7529	20744	80012208	SIM	4	150	0	0	0	3018	3098	R$ 27.707,10	JAN	Mato Grosso do Sul	MS	CVN-4384	R$ 260,00	TRUCK
13/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (2584)	JBS S/A CENTRO DE DISTRIBUICAO	7229	20740	80012202	SIM	1	50	0	0	0	1006	1026	R$ 9.760,46	JAN	Rio Grande do Sul	RS	CVN-4384	R$ 260,00	TRUCK
13/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (1157)	JBS S/A CENTRO DE DISTRIBUICAO	7649	20736	80012210	SIM	2	100	0	0	0	2012	2052	R$ 21.963,21	JAN	Mato Grosso do Sul	MS	CVN-4384	R$ 260,00	TRUCK
13/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (2584)	JBS S/A CENTRO DE DISTRIBUICAO	7493	20735	80012207	SIM	2	30	0	0	0	600	640	R$ 14.025,02	JAN	Rio Grande do Sul	RS	CVN-4384	R$ 260,00	TRUCK
13/01/2025	POUPETEMPO TRANSPORTES	SEARA ALIMENTOS LTDA (549)	SEARA ALIMENTOS LTDA	7267	20741	80012203	SIM	2	50	0	0	0	1006	1046	R$ 8.323,25	JAN	São Paulo	SP	EQC-9H53	R$ 550,00	HR
14/01/2025	POUPETEMPO TRANSPORTES	NUTRIZA AGROINDUSTRIAL DE ALIMENTOS  S/A (3153)	FOLKAS EXPRESS TRANSPORTES E LOGIST TICA LTDA	6898	20748	80012233	SIM	1	25	0	0	0	507,5	527,5	R$ 48.250,01	JAN	Goiás	GO	DTP-5751	R$ 142,86	TOCO
14/01/2025	POUPETEMPO TRANSPORTES	IMPERIO DA ROCA DOIS IRMAOS EMBUTID OS LTDA (4561)	DRP EXPRESS TRANSPORTES LTDA	7701	20749	80012234	SIM	1	3	2	0	0	100,6	120,6	R$ 5.795,01	JAN	Rio de Janeiro	RJ	DTP-5751	R$ 142,86	TOCO
14/01/2025	POUPETEMPO TRANSPORTES	M.M.ALIMENTOS E CONDIMENTOS LTDA (3088)	ABT-LOG TRANSPORTES LTDA ABT-LOG	7698	20752	80012236	SIM	2	26	0	0	0	612	652	R$ 11.361,75	JAN	Rio de Janeiro	RJ	DTP-5751	R$ 142,86	TOCO
14/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (3004)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7148	20751	80012230	SIM	1	0	100	0	0	517,5	537,5	R$ 7.750,00	JAN	Santa Catarina	SC	DTP-5751	R$ 142,86	TOCO
14/01/2025	POUPETEMPO TRANSPORTES	COOPERATIVA CENTRAL AURORA ALIMENTO S (3275)	COOPERATIVA CENTRAL AURORA ALIMENTO S AURORA COOP	7372	20754	80012238	SIM	1	0	20	0	0	103,5	123,5	R$ 1.550,35	JAN	Rio Grande do Sul	RS	DTP-5751	R$ 142,86	TOCO
14/01/2025	POUPETEMPO TRANSPORTES	ICANE INDUSTRIA E COMERCIO DE ALIME NTOS DO NORDESTE LTDA (1445)	KLNEXPRESS TRANSPORTES RODOVIARIOS  LTDA	7753	20750	80012235	SIM	1	0	3	0	0	63,12	83,12	R$ 3.713,70	JAN	Ceará	CE	DTP-5751	R$ 142,86	TOCO
14/01/2025	POUPETEMPO TRANSPORTES	ICANE INDUSTRIA E COMERCIO DE ALIME NTOS DO NORDESTE LTDA (1445)	KLNEXPRESS TRANSPORTES RODOVIARIOS  LTDA	7730	20755	80012240	SIM	1	0	8	0	0	270,52	290,52	R$ 10.498,00	JAN	Ceará	CE	DTP-5751	R$ 142,86	TOCO
14/01/2025	POUPETEMPO TRANSPORTES	TEMPERABEM COMERCIO DE PRODUTOS ALIMENTICIOS LTDA (511)	TEMPERABEM COMERCIO DE PRODUTOS ALI	7713	20747	80012231	SIM	1	0	38	0	0	158,536	178,536	R$ 13.237,75	JAN	São Paulo	SP	EQC-9H53	R$ 137,50	HR
14/01/2025	POUPETEMPO TRANSPORTES	OMAMORI INDUSTRIA DE ALIMENTOS LTDA . (3189)	OMAMORI INDUSTRIA DE ALIMENTOS LTDA	7720	20753	80012237	SIM	1	30	0	0	0	904,5	924,5	R$ 50.130,34	JAN	São Paulo	SP	EQC-9H53	R$ 137,50	HR
14/01/2025	POUPETEMPO TRANSPORTES	OMAMORI INDUSTRIA DE ALIMENTOS LTDA . (3189)	OMAMORI INDUSTRIA DE ALIMENTOS LTDA	7704	20765	80012255	SIM	1	20	0	0	0	503	523	R$ 24.310,17	JAN	São Paulo	SP	EQC-9H53	R$ 137,50	HR
14/01/2025	POUPETEMPO TRANSPORTES	ROSSINI INDUSTRIA E COMERCIO DE ALI MENTOS INDUSTRIALIZADOS LTDA (4956)	ROSSINI INDUSTRIA E COMERCIO DE ALI	7766	20757	80012245	SIM	1	0	0	0	0	100	120	R$ 1.667,93	JAN	São Paulo	SP	EQC-9H53	R$ 137,50	HR
15/01/2025	POUPETEMPO TRANSPORTES	PRODUTOS MACALE LTDA PRODUTOS MACALE LTDA (2734)	PICORELLI S A TRANSPORTES	7710	20763	80012250	SIM	1	0	15	0	0	315,6	335,6	R$ 21.945,91	JAN	Minas Gerais	MG	DTP-5751	R$ 142,86	TOCO
15/01/2025	POUPETEMPO TRANSPORTES	AVIVAR ALIMENTOS S/A (3127)	VIACAO SAO CRISTOVAO LIMITADA.	7407	20768	80012273	SIM	3	0	0	0	0	3182,784	3242,784	R$ 99.914,14	JAN	Minas Gerais	MG	DTP-5751	R$ 142,86	TOCO
15/01/2025	POUPETEMPO TRANSPORTES	COMERCIO DE TRIPA VILA NOVA LTDA (68)	EXCELLENCE TRANSPORTE E LOGISTICA L LTDA EXCELLENCE TRANSPOR	7760	20764	80012251	SIM	1	9	0	0	0	233,45	253,45	R$ 3.585,90	JAN	Paraná	PR	DTP-5751	R$ 142,86	TOCO
15/01/2025	POUPETEMPO TRANSPORTES	ARI KREINER (3251)	PICCOLI TRANSPORTES LTDA PICCOLI TRANSPORTES	7708	20762	80012249	SIM	1	15	0	0	0	415,1	435,1	R$ 7.401,77	JAN	Mato Grosso	MT	DTP-5751	R$ 142,86	TOCO
15/01/2025	POUPETEMPO TRANSPORTES	ICANE INDUSTRIA E COMERCIO DE ALIME NTOS DO NORDESTE LTDA (1445)	KLNEXPRESS TRANSPORTES RODOVIARIOS  LTDA	7351	20766	80012261	SIM	1	50	0	0	0	1006	1026	R$ 42.860,01	JAN	Ceará	CE	DTP-5751	R$ 142,86	TOCO
